Disease,Symptoms,Herbal Remedies,Description
Diabetes,"frequent urination, increased thirst, fatigue","Bitter Melon, Fenugreek",Bitter Melon helps regulate blood sugar levels. Fenugreek improves insulin sensitivity.
Common Cold,"cough, sore throat, runny nose","Ginger Tea, Turmeric Milk",Ginger Tea relieves sore throat and boosts immunity. Turmeric Milk reduces inflammation.
Migraine,"headache, nausea, sensitivity to light","Peppermint Oil, Feverfew",Peppermint Oil soothes headaches. Feverfew reduces migraine frequency.
Arthritis,"joint pain, stiffness, swelling","Turmeric, Ginger",Turmeric reduces inflammation. Ginger alleviates joint pain.
Indigestion,"bloating, stomach pain, gas","Peppermint Tea, Fennel Seeds",Peppermint Tea relieves bloating. Fennel Seeds aid digestion.
High Blood Pressure,"headache, dizziness, blurred vision","Garlic, Hawthorn",Garlic helps lower blood pressure. Hawthorn improves blood flow.
Insomnia,"difficulty sleeping, fatigue, irritability","Chamomile Tea, Valerian Root",Chamomile Tea promotes relaxation. Valerian Root improves sleep quality.
Skin Burns,"redness, pain, blistering","Aloe Vera, Honey",Aloe Vera soothes burns and promotes healing. Honey has antibacterial properties.
Asthma,"wheezing, shortness of breath, chest tightness","Licorice Root, Ginger",Licorice Root reduces inflammation in airways. Ginger helps with breathing.
Acne,"pimples, oily skin, blackheads","Tea Tree Oil, Neem",Tea Tree Oil has antibacterial properties. Neem purifies the skin.
Eczema,"dry skin, itching, redness","Coconut Oil, Oatmeal Bath",Coconut Oil moisturizes dry skin. Oatmeal Bath soothes itching and redness.
High Cholesterol,"chest pain, fatigue, yellow patches on skin","Garlic, Flaxseeds",Garlic reduces cholesterol levels. Flaxseeds are rich in omega-3 fatty acids.
Constipation,"infrequent bowel movements, bloating, discomfort","Psyllium Husk, Senna",Psyllium Husk adds bulk to stool. Senna stimulates bowel movements.
Depression,"sadness, loss of interest, fatigue","St. John's Wort, Lavender",St. John's Wort improves mood. Lavender reduces anxiety and stress.
Allergies,"sneezing, runny nose, itchy eyes","Butterbur, Quercetin",Butterbur reduces allergy symptoms. Quercetin is a natural antihistamine.
Sore Throat,"pain or irritation in the throat, difficulty swallowing","Slippery Elm, Marshmallow Root",Slippery Elm coats the throat. Marshmallow Root soothes irritation.
Gastritis,"stomach pain, nausea, vomiting, bloating","Chamomile, Licorice Root",Chamomile reduces stomach inflammation. Licorice Root protects the stomach lining.
Kidney Stones,"severe pain in the back or side, blood in urine","Dandelion Root, Nettle Leaf",Dandelion Root flushes out toxins. Nettle Leaf supports kidney health.
Psoriasis,"red patches, itching, flaking skin","Aloe Vera, Tea Tree Oil",Aloe Vera reduces redness. Tea Tree Oil soothes itching and flaking.
Menstrual Cramps,"cramping, lower back pain, fatigue","Ginger, Cramp Bark",Ginger reduces inflammation. Cramp Bark relaxes uterine muscles.
